"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000163554",13.9943926867253,2.04796528820563,0.717618451125259,2.85383588590054,0.00431948390217251,0.0307519054351857,"SPTA1"
"ENSG00000117600",87.3737618026986,2.15908342807351,0.541441220891992,3.98765986918498,6.6728237673778e-05,0.0010207792846096,"PLPPR4"
"ENSG00000143494",39.3361004761352,3.77316701553367,0.436435791519002,8.64541151036505,5.36117327882405e-18,9.88978788376012e-16,"VASH2"
"ENSG00000225313",182.625485527671,-1.12565668918909,0.168626502270119,-6.67544350404615,2.46485606627324e-11,1.83315145229238e-09,NA
"ENSG00000116991",262.194592905175,2.74580896218034,0.532890168135359,5.15267333940167,2.56799063241556e-07,7.94725522031763e-06,"SIPA1L2"
"ENSG00000143127",594.130796200358,-3.82434590992891,0.76222997052797,-5.01731243561562,5.23993163696132e-07,1.48934371119432e-05,"ITGA10"
"ENSG00000116194",523.241980194615,-2.05183680185636,0.415450500163074,-4.93882376131686,7.85952031446325e-07,2.10063542950199e-05,"ANGPTL1"
"ENSG00000253368",2259.74209390842,-1.97646841663452,0.237593685111491,-8.31869085959525,8.89401904974563e-17,1.52136238581831e-14,"TRNP1"
"ENSG00000158246",153.140915865876,-2.31220008221108,0.191261688834747,-12.0891962018011,1.20459458109629e-33,1.200014581432e-30,"TENT5B"
"ENSG00000198691",79.248969798571,-1.16722750080716,0.373322382388331,-3.12659394633619,0.00176843992369846,0.0154193538481512,"ABCA4"
"ENSG00000158816",41.6079436505055,-2.92913704945042,0.821039518726784,-3.56759569136543,0.000360271828450466,0.00422865816451004,"VWA5B1"
"ENSG00000179862",119.463084235729,-1.45475436470963,0.298132793951025,-4.87955164351563,1.06327279608279e-06,2.73313400698003e-05,"CITED4"
"ENSG00000281207",20.7281895260732,-1.21582141137327,0.384832490445069,-3.15935229368794,0.00158120227851529,0.0141138055372598,"SLFNL1-AS1"
"ENSG00000117461",348.325825303184,1.60568113781987,0.354079554188572,4.53480331983454,5.76571880241682e-06,0.000121486858887206,"PIK3R3"
"ENSG00000117479",583.183691204229,-1.06594175233975,0.286743601688814,-3.71740379231392,0.000201280598488806,0.00257289112850908,"SLC19A2"
"ENSG00000203685",18.6728622133138,-2.96934711849847,0.576150680618562,-5.15376830816297,2.55303348939091e-07,7.9139832185139e-06,"STUM"
"ENSG00000177674",1636.73769541056,-1.09803669702737,0.151985630355793,-7.22460863212466,5.02547003925408e-13,5.31231709318004e-11,"AGTRAP"
